"symbol"	"ensembl_gene_id"	"entrez_id"
"CAMK1G"	"ENSG00000008118"	57172
"CAMK2G"	"ENSG00000148660"	818
"CAMK2N1"	"ENSG00000162545"	55450
"CAMSAP2"	"ENSG00000118200"	23271
"CAMTA1"	"ENSG00000171735"	23261
"CAP1"	"ENSG00000131236"	10487
"CAPN1"	"ENSG00000014216"	823
"CAPN2"	"ENSG00000162909"	824
"CAPN5"	"ENSG00000149260"	726
"CAPN8"	"ENSG00000203697"	388743
"CAPN9"	"ENSG00000135773"	10753
"CAPRIN1"	"ENSG00000135387"	4076
"CAPRIN2"	"ENSG00000110888"	65981
"CAPZA1"	"ENSG00000116489"	829
"CAPZA3"	"ENSG00000177938"	93661
"CAPZB"	"ENSG00000077549"	832
"CARD17"	"ENSG00000255221"	440068
"CARD18"	"ENSG00000255501"	59082
"CARNS1"	"ENSG00000172508"	57571
"CASP1"	"ENSG00000137752"	834
"CASP12"	"ENSG00000204403"	100506742
"CASP4"	"ENSG00000196954"	837
"CASP5"	"ENSG00000137757"	838
"CASP7"	"ENSG00000165806"	840
"CASP9"	"ENSG00000132906"	842
"CASQ1"	"ENSG00000143318"	844
"CASQ2"	"ENSG00000118729"	845
"CASZ1"	"ENSG00000130940"	54897
"CAT"	"ENSG00000121691"	847
"CATSPER1"	"ENSG00000175294"	117144
"CATSPER4"	"ENSG00000188782"	378807
"CATSPERE"	"ENSG00000179397"	257044
"CATSPERZ"	"ENSG00000219435"	25858
"CAVIN3"	"ENSG00000170955"	112464
"CBL"	"ENSG00000110395"	867
"CBX5"	"ENSG00000094916"	23468
"CC2D1B"	"ENSG00000154222"	200014
"CC2D2B"	"ENSG00000188649"	387707
"CCAR1"	"ENSG00000060339"	55749
"CCDC15"	"ENSG00000149548"	80071
"CCDC153"	"ENSG00000248712"	283152
"CCDC17"	"ENSG00000159588"	149483
"CCDC172"	"ENSG00000182645"	374355
"CCDC179"	"ENSG00000255359"	100500938
"CCDC18"	"ENSG00000122483"	343099
"CCDC181"	"ENSG00000117477"	57821
