GeneA GeneB
26121 5864
8330 9129
314 122809
1062 92106
56996 9129
199704 10367
10643 10168
81628 4761
23559 11100
55355 90381
8386 3200
2865 83590
430 55929
523 7531
63035 23439
166815 51310
126006 1856
10169 6853
22882 23401
604 118460
7596 120892
30850 7126
6519 8690
55026 8189
79369 8690
221806 9724
8386 57649
4668 219793
8341 401
342979 115817
2928 8556
8999 50964
25798 84687
8985 7477
1456 220382
1576 1262
79414 7087
8905 126375
23020 58158
5176 6703
5450 7483
7791 54442
55958 84807
94107 6093
6165 9349
4064 10732
22798 158326
23358 126917
7007 154790
91663 5738
7771 7733
1504 5408
84924 154796
84924 6651
7732 388419
729956 63893
57799 116535
400950 27291
25794 89848
7627 6579
55665 4692
1311 338761
114898 57648
14 341799
63932 79682
347169 6512
7016 7349
10570 2824
128611 5310
388341 11152
399671 374786
375791 11151
5452 7531
4241 2301
51691 166815
57587 4902
84874 2967
51477 196403
91975 151230
58190 4692
388551 55209
286046 23235
79718 4192
116092 26585
1272 116983
60673 5906
115207 81688
79872 170463
4915 5296
7569 152007
6561 145741
79027 9746
149420 148423
5159 54551
22913 399473
26517 9698
4783 1627
55815 4692
57335 6839
91392 25980
5010 83983
5080 3945
55802 402415
63933 7813
79725 10660
30846 80725
84549 8175
10169 51230
153222 374879
196403 6833
84437 343413
64852 91057
162282 51127
6932 200312
79633 54621
6129 9668
25900 10945
23129 27106
8484 29959
8386 1174
22996 26525
347404 51616
2002 6429
55422 114991
51186 83988
22853 23336
344191 11007
388341 9132
79923 64599
54700 121268
89801 126917
26245 55100
2582 27328
9351 7704
115992 23174
55958 3608
3720 10638
57526 6018
390079 27145
254263 11187
4968 89766
3692 7158
57102 56944
770 30000
93650 7087
390010 6119
84823 5412
2830 58506
84924 55285
147923 5104
827 286053
79958 6491
8242 5569
6878 2909
26496 118987
100130733 55616
23510 147040
11143 6585
8351 1747
51725 64856
7298 386681
84450 9668
9685 7712
84629 84326
6872 9351
8341 57688
2909 124857
219453 26229
728340 51573
2902 7077
345462 57536
5459 399473
91748 64766
57495 128853
50840 114625
25782 92815
257397 5294
7738 284459
727800 53904
27161 402
8339 5437
6444 6286
341152 10126
7771 11232
10432 8045
28996 220988
7134 11015
7791 84894
84936 9169
4201 7855
55145 2702
4909 55223
2870 11152
390927 1154
6323 84687
401612 90139
4005 9679
3015 389
3233 729956
3093 11189
79581 164633
554235 139411
171017 65249
10634 91683
132160 23334
10016 869
1576 1990
10570 6004
84250 148268
284021 338376
9412 5293
8239 3202
8341 11180
10330 60496
55780 60437
5956 4956
2669 196472
3228 6157
9049 9698
9820 51195
28978 127396
375612 84312
10251 146212
7158 6018
29801 79414
100127983 170463
124739 3226
3827 84467
5999 25903
5956 79633
390429 5818
388564 490
83983 126006
57677 23318
222658 128853
89801 4974
140836 5296
26735 23125
1436 11184
26259 121340
342900 55356
3276 23769
146330 430
387763 196374
115207 5163
26548 8242
126308 27252
390429 58473
84924 8456
9367 7572
7556 64375
57644 23223
126129 30832
57827 10456
79009 51127
7015 2177
8330 202052
119772 9684
259286 55343
79442 54361
341799 23334
10251 10260
164395 1339
3600 84874
503835 64397
9351 127428
